,text,score,magnitude
0,"want cheat waec carrying bbnajia tachadancechallange saynotonipostfee…
",-60.0%,60.0%
0,"kerala private hospitals treatment rates ₹ general ward  hdu  icu  icu ventilator  in…
",-10.0%,10.0%
0,"due epidemic im giving   person looking might able go round i…
",-50.0%,50.0%
0,"joebiden fight creepy delusional basement dweller referring battle keeping…
",10.0%,10.0%
0," new cases  new deaths uzbekistan  gmt coronavirusupdate coronaviruspandemic
",0.0%,0.0%
0,"bignews rajasthan governor kalraj mishra appeals recovered patients donate plasma says…
",-10.0%,10.0%
0,"“until day medical vaccine food best vaccine chaos” wfpchief david beasley am…
",-20.0%,20.0%
0,"nigeria hapless unfortunate citizens taxed ever increasing tariffs things even without lettin…
",-80.0%,80.0%
0,"friendly weekend reminder didn’t go away got bored wearamask …
",-10.0%,10.0%
0,"local tv stations owned sinclair broadcast group set air discredited plandemic researchers conspiracy th…
",-20.0%,20.0%
0,"photos uae hospital launches support group patients
",0.0%,0.0%
0," yes “we’re learning every day” “we’re listening science”…
",50.0%,50.0%
0,"alhamdulillah  deaths reported  hours qatar  qatar coronavirus…
",0.0%,0.0%
0,"praniks giloy capsules gives farreaching benefits fight infections boost immunity…
",50.0%,50.0%
0," rtpcrcbnaattruenat tests  rapid antigen tests conducted total  test…
",10.0%,10.0%
0,"repmattgaetz realdonaldtrump gaetztakes much dead sufferers spend
",-30.0%,30.0%
0,"virtual chro paneldiscussion reimagining workplaces amid july  register …
",10.0%,10.0%
0,"governorgreg’s actions killed still killing what’s word use people willfully intention…
",-90.0%,90.0%
0,"people working shops supposed wear face covering england
",-70.0%,70.0%
0,"delta flight departing detroit turn around  guests refuse wear masks airlines coronavirus…
",-80.0%,80.0%
0,"fkeyamo please someone educate application process since physical presence isnt possible due to…
",-70.0%,70.0%
0,"puerto rico reports  new cases  new deaths bringing total confirmed cases   total de…
",-10.0%,10.0%
0," positive cases  patients recovereddischargedmigrated  deaths delhi are…
",30.0%,30.0%
0,"dying dying huge difference fakenews democrats usi…
",-60.0%,60.0%
0,"thought would shorter line arrive  min early brewer testing center would…
",-30.0%,30.0%
0,"airlines design recovery plans humancentered mindset likely best position th…
",50.0%,50.0%
0,"deeply saddened untimely demise constable krishna kanta burman due posted hastings…
",-80.0%,80.0%
0,"maharashtra government cuts syllabus  students class  view pandemic says school e…
",-50.0%,50.0%
0,"jaipur rajasthan government started plasmabank sawai man singh hospital jaipur treatment of…
",-10.0%,10.0%
0,"uscis unlike federal government largely depends funding fees collects citizenship gree…
",-20.0%,20.0%
0,"big q parents flexibility work home send child school would datainformation…
",10.0%,10.0%
0,"us colossal failure
",-80.0%,80.0%
0,"win copy positivplanner motherhoodreal support mentalhealth …
",-40.0%,40.0%
0,"rutlands supporting testing
",0.0%,0.0%
0,"urstrulymahesh scsccyberabad cyberabadpolice time beloved survivors a…
",50.0%,50.0%
0," feeling good  symptoms long may last 🤞 🦠🤛
",60.0%,60.0%
0,"want understand improving quality represents soap water wash hands …
",-40.0%,40.0%
0,"thedailyedge seanhannity foxnews spread lies hate sexual violence murder foxnews
",-80.0%,80.0%
0,"home town many people wearing masks incorrectly feel bit frustrated i’m ch…
",-80.0%,80.0%
0,"new york retail
",0.0%,0.0%
0,"delhi reported  new cases  deaths taking total number cases  death tally 
",-40.0%,40.0%
0,"tech leaders help position organization’s techstrategy way aligns shifting investment…
",70.0%,70.0%
0,"danang patients health gets worse quickly prompting doctors use ecmo filter blood…
",-80.0%,80.0%
0," vijayshadean southafrica tourism gotosouthafrica carteblanche cricket rugby sure breed
",20.0%,20.0%
0,"colleaguesforlife helped deloittealumni karen seminarapatton cofound organization help med…
",80.0%,80.0%
0,"successful openingday grandslam walkoff  anyone else thinking six feet ce…
",50.0%,50.0%
0,"brazil’s bilsonaro tested positive says latest test result negative
",-60.0%,60.0%
0," deaths us fourth day row questions global supply chains ability to…
",-50.0%,50.0%
0,"affected brief lock take time think animals permanent…
",-70.0%,70.0%
0," positive cases  patients recovereddischargedmigrated  deaths delhi a…
",50.0%,50.0%
0,"check latest article three supply chain risks could thwart successful vaccine…
",-30.0%,30.0%
0,"stop foggy glasses hack facecoverings maskproblems facemask hack maskhack maskmoaners
",-30.0%,30.0%
0,"symptom duration risk factors delayed return usual health among outpatients multistat…
",-40.0%,40.0%
0,"religion  century jews fighting  century christian evangelicals
",20.0%,20.0%
0," thats admission realdonaldtrump probably truth well ever hear regr…
",-50.0%,50.0%
0,"must bad times order appreciate good ones jeffrey duarte depression…
",-70.0%,70.0%
0,"pr vishalkofficial father mrgkreddy tested positive  days back vishal s…
",-10.0%,10.0%
0,"benjamesphotos pink benpc lockdownphotochallenge saturdaymorning flowers
",20.0%,20.0%
0,"national state impact elder population societal loss wisdom history s…
",-30.0%,30.0%
0,"andhrapradesh  new cases  deaths  samples tested  discharged e…
",-10.0%,10.0%
0,"alert eye opener rep john lewis remembered global pandemic news protests …
",0.0%,0.0%
0,"uncle tested positive already lost  family members please wear masksocial distance
",-40.0%,40.0%
0,"venrap radio playing venrap radio stay safe love download app listen on…
",90.0%,90.0%
0,"“the anxiety surrounding caused bipolar chron’s disease flare quite badly” read you…
",-70.0%,70.0%
0,"shall come victory minds fightagainstcorona retail outlets across india adher…
",40.0%,40.0%
0,"absolutely wouldnt standing  position worldwide  lakh cas…
",-70.0%,70.0%
0,"update  nearly  countries report record singleday increases infections us records o…
",-60.0%,60.0%
0,"us even insurance face possible economic burdens pandemic tens millions america…
",-50.0%,50.0%
0,"undercover inspectors deployed abudhabided make sure anti measures foll…
",-40.0%,40.0%
0,"hospital cleaners porters catering staff unsung heroes tell issworld pay fair wage…
",-30.0%,30.0%
0,"manufacturing production activity begins echo  trends indicating industry normalization will…
",0.0%,0.0%
0,"covidupdates ap records many  new cases last  hours taking tally   deaths wer…
",20.0%,20.0%
0,"economies participating asiapacific economic cooperation apec reaffirmed prioritization economic…
",10.0%,10.0%
0,"world news shortened busy people politics trump money wisdom leadership…
",-70.0%,70.0%
0,"apec reaffirms economic recovery priorities movement essential goods
",30.0%,30.0%
0,"july  trend report dallas tx dfw cases hospitalizations deaths  average…
",0.0%,0.0%
0,"cautious optimism arizona may plateauing potential good news
",50.0%,50.0%
0,"want test it’s much easier get wealthier whiter neighborhoods testingwhileblack
",-20.0%,20.0%
0,"jkenney adrianalagrange rachelnotley shoffmanab sit room together find solution please parents need y…
",40.0%,40.0%
0,"walshfreedom freddyatton realized trump gop win god forbid finally stripped aca…
",-20.0%,20.0%
0,"pleased share interesting results worldwide survey impact bariatric surgery need rob…
",30.0%,30.0%
0,"🤔remember trump told us one day would miraculously dissapear⁉he talking family friend…
",0.0%,0.0%
0,"hon municipal commissioner shravan hardikar appeals patients recovered donate their…
",20.0%,20.0%
0,"nbcnews todayshow  feet apart masks indoors bad examples r  get kids  wear em…
",-40.0%,40.0%
0,"truth around somewhere update saturdaymorning saturdayvibes
",-10.0%,10.0%
0,"coronavirusspain warning spain could death trap second spike catalonia barcelona has…
",-50.0%,50.0%
0,"three cs term hadn’t heard good advice goodadvice
",-70.0%,70.0%
0,"delhi  positive cases  patients recovereddischargedmigrated  deaths are…
",20.0%,20.0%
0,"great  yesterday  socialdistancing bbq
",90.0%,90.0%
0,"yes wakeup fake plandemic exosomes virustheory  real virus saynotobillgates…
",-70.0%,70.0%
0,"pleased announce inclusion virology laboratory university nigeria teaching hospital enugu…
",50.0%,50.0%
0,"apartment buildings exempt mask requirement makes sense theres probably  people my…
",0.0%,0.0%
0,"great tips friends samhsagov inthistogether
",90.0%,90.0%
0,"alert parents decide whether send kids back school spreads faster ever global pandemic…
",-10.0%,10.0%
0,"football jersey count first md nfl opting care others medbikini chiefs…
",-70.0%,70.0%
0,"“since everything stopped pandemic haven’t information lala nobody contacted…
",-70.0%,70.0%
0,"pandemic could push n carolina families home school miami herald homeschooling nc
",20.0%,20.0%
0,"impactful video liv mcneil demonstrates  minutes students need outdoor learning…
",50.0%,50.0%
0,"government tabla player countries pandemic
",20.0%,20.0%
0,"since everything’s changing redsox start playing version sweet caroline games th…
",10.0%,10.0%
0,"use many sources guidance use cdc things fact check sour…
",-20.0%,20.0%
0,"brilliant see people awake accepting mainstream narrative
",90.0%,90.0%
0,"kenya update  july  mohkenya susanmochache moetitshidi whoafro drtedros…
",-30.0%,30.0%
0,"alreadyvideo rihannaxtiwa obasekiflagsofftoday tachadancechallange fraudbyquodjoe …
",30.0%,30.0%
0," feeling good sounds soul song
",90.0%,90.0%
0,"ekiti update  july  fortytwo  active cases ekiti state…
",-30.0%,30.0%
0,"still travel credit stimulus
",0.0%,0.0%
0,"thanks ⁦govofco⁩ stressing personal responsibility facecoveringmandate limiting spread …
",-30.0%,30.0%
0,"follow advisory fight workplace safety hands stay alert stay safe…
",30.0%,30.0%
0,"ukraines president renewed invitation abdel fattah alsisi visit ukraine ab…
",10.0%,10.0%
0,"goodjobcop saturdaymotivation dcp hari kiran chennaipolice helped radhe amma  sanitary worker get j…
",0.0%,0.0%
0,"sad reality hundreds cars line drive thru food drive florida
",-80.0%,80.0%
0,"cpkolkata kolkatapolice would commendable step taken kolkatapolice personnel regard fight a…
",-10.0%,10.0%
0,"development worrying continue monitored closely rki exacerbati…
",-60.0%,60.0%
0,"awesomeness dont know is  rihannaxtiwa alreadyvideo
",90.0%,90.0%
0,"benjamesphotos new beginning  ago wonderful new addition family marley brought us muc…
",70.0%,70.0%
0,"drivethrough testing hours kinsmen changing monday 
",0.0%,0.0%
0,"even vaccine face coverings stay feels massive shift towards a…
",70.0%,70.0%
0,"liammcbaen one loneliest number anyway wearamask realmenwearmasks toughguyswearmasks…
",0.0%,0.0%
0,"dr ebrahim janahi ceo tamkeen confirmed supporting sectors affected pandemic reac…
",-30.0%,30.0%
0,"hate coz made lose love life pain unbearable yooh🤞 hope heal one day…
",-70.0%,70.0%
0," cases linked altaqwa college melbourne commentary nearly non existent imagine th…
",-50.0%,50.0%
0,"expert explains wrong talk second wave
",-50.0%,50.0%
0,"mickinla yes hoody trayvonmartin mask far followers dont real friends l…
",-60.0%,60.0%
0,"absolutely exceptional situations need extraordinary solutions cannot fight battle usual measu…
",-20.0%,20.0%
0,"every time demonize left democrats liberals people oppose youyou rejecting majority…
",-70.0%,70.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"testing programme cyprus customer service employees ongoing source
",-10.0%,10.0%
0,"late baby sister left behind three sons eldest far right diagnosed he’s in…
",10.0%,10.0%
0,"covidupdates cases last  hours  till  apfightscorona 
",0.0%,0.0%
0,"remember nonsense obamacare “death camps” least gop charge pandemic get to…
",-80.0%,80.0%
0,"bbcaq oh yes sure perfectly happy selfcertification distress wearingamask wearamask viralload
",20.0%,20.0%
0,"students stressed due pandemic mentally prepare give examsmoreover also going…
",-60.0%,60.0%
0,"bored saturday morning tired reading drama take break watch ginger new shoes…
",-30.0%,30.0%
0,"needs green list we’ve got doorstep🤷‍🥰 kerry  cloghane …
",-30.0%,30.0%
0,"wodarg called inquiry influence bigpharma  pandemic call for…
",-30.0%,30.0%
0,"director speaking shortly peoples assembly event future industry jobs rights w…
",-10.0%,10.0%
0,"review recent study retracted connected 
",0.0%,0.0%
0,"hello twitter delighted share great innovators creators thought leaders visit website an…
",80.0%,80.0%
0,"go headlines topnews hour rajasthan political crisis stage sitin outside pm house needed says…
",-50.0%,50.0%
0,"another exgoper amazing took pandemic regret choice better late never…
",30.0%,30.0%
0,"took two weeks limited population one members test positive weve followed…
",-50.0%,50.0%
0,"dear realdonaldtrump vaccine goes market please repeal  act removed liability fro…
",-40.0%,40.0%
0,"countries reopeningschools well guess countries arent raging hotbed right…
",-60.0%,60.0%
0,"it’s rough clubs shut  newyork since hit wanted find suggestions online…
",-70.0%,70.0%
0,"wow surprised impressed mia understands rule waiting brother fraser p…
",80.0%,80.0%
0,"france require onthespot tests travellers coming  countries united states brazil alg…
",-10.0%,10.0%
0,"devils laughing us catholic christian truth
",70.0%,70.0%
0,"bitcoinbehemoth nope cantstopthetruth
",-70.0%,70.0%
0,"new way lifeuntil nov  day election lockdown charade becomes meani…
",-70.0%,70.0%
0,"part help fight important threats addressing issues sanitization pandemic a…
",60.0%,60.0%
0," kdmcofficial cmomaharashtra authackeray niteshnrane rssorg narendramodi omnavalihalkar…
",20.0%,20.0%
0," comments andrewcuomos mishandling senior patients arent politically motivated ar…
",-80.0%,80.0%
0,"let people praise thee god let people praise thee shall earth yield increase go…
",80.0%,80.0%
0,"since can’t go coffee shop reimagine outdoor space early morning reading…
",10.0%,10.0%
0,"croatia  new cases  new death active cases  bnodesk
",0.0%,0.0%
0,"first textile reusable mask proven ability inactivate new responsible fo…
",50.0%,50.0%
0,"bhadeliamd ok little disturbing us get data korea youth study m…
",-50.0%,50.0%
0,"mishandling pandemic response lead excess deaths premature death losing game…
",-60.0%,60.0%
0,"luring canadians stockmarket
",-40.0%,40.0%
0,"hush puppy charged online fraudster call bunch thieves visible nigeria politicians wa…
",-80.0%,80.0%
0,"andhrapradesh reports  new cases saturday tally goes  death toll increase…
",-20.0%,20.0%
0,"berniesanders guy gets wearamask realmenwearmasks toughguyswearmasks maskssavelives…
",-40.0%,40.0%
0,"joshmatlow ontario government done close nothing possible people pandemic …
",-70.0%,70.0%
0," tomcottonar trump gop betsydevosed unfit office plan return school church wo…
",-50.0%,50.0%
0,"kenya update  july  mohkenya susanmochache moetitshidi whoafro drtedros…
",-30.0%,30.0%
0,"rajasthan government started plasma bank sawai man singh hospital jaipur treatment pa…
",-40.0%,40.0%
0,"help slow spread identify risk cases sooner selfreporting symptoms daily even y…
",50.0%,50.0%
0,"july ”jimmy dean” panel quarantineportraits quarantine dailyportrait fineart…
",0.0%,0.0%
0,"great reminder francescasnh naturescot important nature us – physically e…
",90.0%,90.0%
0,"us studies show public transport one dangerous places transmission is…
",-30.0%,30.0%
0," new cases  new deaths united states  gmt coronavirusupdate coronaviruspandemic
",-10.0%,10.0%
0,"best teachers dont ignore chaos world outside classroom writes chrisemdin instead us…
",-60.0%,60.0%
0,"latest updates qatar
",-60.0%,60.0%
0,"hope everyone watching news report death everyone dying need reeva…
",-70.0%,70.0%
0,"enjoy telecommuting remoteteaching remotelearning barbados beachoffice…
",80.0%,80.0%
0,"county health department aahealth closes dutch farmers market annapolis due related violations…
",-60.0%,60.0%
0,"five new cases sorsogon include two teenagers bicolnews
",0.0%,0.0%
0,"climatechange intersect many ways right hurricanehanna expected bring severe flood…
",-30.0%,30.0%
0,"netherlands  cases   fatalities   hospitalisations   di…
",-40.0%,40.0%
0,"surfer walks recreio dos bandeirantes beach amid disease outbreak rio de janei…
",10.0%,10.0%
0,"recovery home requires space prevent infection others living roof  i…
",0.0%,0.0%
